,Date,Alteration,Trades_taken,15mWin_Rate,15mLoss_Rate,15m%Growth,R,Profit_Factor,MaxDD,Sharpe,Conclusion
V1.1,8/25/26,Base,3659,48.70%,51.30%,115.77%,7.91,1.283,5.50%,NA,Base metrics
V1.2,9/1/26,SL to opposing ORB,N/A,41.78%,58.22%,35.83%,5.274,1.059,19.07%,NA,Worse
V1.3,9/1/26,TP = 1/2 * ORB,N/A,71.80%,28.20%,-829.52%,6,0.184,827.90%,NA,Horrible
V1.4,9/1/26,1 Trade per day,N/A,51.06%,48.94%,15.99%,3.256,1.189,3.51%,NA,Positive but bad
V1.5,9/3/26,Uptrend only using SMA,2107,49.74%,50.26%,76.65%,9.095,1.35,5.08%,NA,Positive but bad
V1.6,9/3/26,Uptrend only long only using SMA,1194,48.74%,51.26%,33.81%,7.079,1.266,4.48%,NA,Worse than longs & shorts
V1.7,9/3/26,Upternd & long only using EMA,1253,48.76%,51.24%,40.34%,8.049,1.307,4.49%,NA,Similar results
V1.8,9/3/26,Uptrend only using EMA,2102,49.95%,50.05%,68.42%,8.138,1.319,4.31%,NA,Similar results
TESTING DAYS OF WEEK,,,,,,,,,,NA,
V2.0,9/3/26,Only mondays,714,47.90%,52.10%,22.18%,7.765,1.327,4.72%,NA,Positive results
V2.1,9/3/26,Only tuesdays,760,50.92%,49.08%,30.07%,9.892,1.354,5.26%,NA,Positive results
V2.2,9/3/26,Only wednesdays,764,47.50%,52.49%,10.10%,3.306,1.118,7.33%,NA,Positive results
V2.3,9/3/26,Only thursday,726,49.59%,50.41%,37.69%,12.978,1.424,4.56%,NA,Positive results
V2.4,9/3/26,Only friday,698,47.28%,52.72%,13.07%,4.681,1.153,4.32%,NA,Postiive results
TESTING MONTHS,,,,,,,,,,NA,
V3.0,9/3/26,Only January,333,48.65%,51.35%,11.94%,8.961,1.34,8.01%,NA,Positive
V3.1,9/3/26,Only February,339,48.38%,51.62%,12.84%,9.471,1.375,5.74%,NA,Positive
V3.2,9/3/26,Only March,311,45.98%,54.02%,4.56%,3.662,1.111,3.99%,NA,Positive
V3.3,9/3/26,Only April,253,56.52%,43.48%,20.94%,20.698,1.819,1.78%,NA,Very Positive
V3.4,9/3/26,Only May,306,45.75%,54.25%,8.20%,6.698,1.234,2.40%,NA,Positive
V3.5,9/3/26,Only June,251,44.22%,55.78%,-0.77%,-0.796,0.977,5.90%,NA,Surprisingly Negative
V3.6,9/3/26,Only July,290,48.28%,51.72%,10.26%,8.843,1.262,4.84%,NA,Positive
V3.7,9/3/26,Only August,309,53.72%,46.28%,19.66%,15.909,1.557,2.69%,NA,Positive
V3.8,9/3/26,Only September,304,46.38%,53.62%,0.23%,0.192,1.007,4.28%,NA,Positive but surprisingly low
V3.9,9/3/26,Only October,275,46.55%,53.46%,8.66%,7.871,1.276,3.30%,NA,Positive
V3.10,9/3/26,Only November,360,49.17%,50.83%,10.55%,7.328,1.3,2.82%,NA,Positive
V3.11,9/3/26,Only December,328,50.92%,49.09%,8.70%,6.631,1.27,4.80%,NA,Positive
V3.12,9/6/26,Excluding June,3408,49.03%,59.97%,116.54%,8.549,1.31,5.55%,NA,Surprisingly the best
V3.13,9/6/26,Excluding September,3355,48.91%,51.10%,115.53%,8.609,1.305,5.62%,NA,Not better than baseline
V.14,9/6/26,Excluding June and September,3659,48.70%,51.30%,115.77%,7.91,1.283,5.55%,NA,Good but barely loses to baseline
TESTING ORB RANGE,,,,,,,,,,NA,
V4.0,9/8/26,Range < 70,2015,49.77%,50.22%,70.41%,8.736,1.384,4.50%,NA,Poor results
V4.1,9/8/26,Range > 70,1388,48.10%,51.94%,46.67%,8.405,1.244,4.45%,NA,Poor results
V4.2,9/8/26,Range > 10,3347,48.88%,51.12%,115.56%,8.632,1.31,6.09%,NA,Similar to top
V4.3,9/8/26,Range > 20,2981,49.04%,50.96%,108.19%,9.067,1.313,5.40%,NA,Drops a little bit
V4.4,9/8/26,Range > 30,2655,48.44%,51.56%,82.10%,7.73,1.255,4.72%,NA,Worse
V4.5,9/8/26,Range < 300,3401,49.02%,50.99%,116.29%,8.548,1.312,5.55%,NA,Very similar
V4.6,9/8/26,Range < 250,3390,49.06%,50.94%,118.10%,8.709,1.319,5.50%,NA,Top results
V4.7,9/8/26,Range < 275,3398,49.03%,50.97%,116.79%,8.593,1.314,5.55%,NA,A little worse
V4.8,9/8/26,Range < 225,3374,48.99%,51.01%,114.74%,8.502,1.312,5.55%,NA,A little worse
TIME OF DAY FILTERS,,,,,,,,,,NA,
V5.0,9/8/26,Until 12:00 PM EST,4985,47.66%,52.34%,123.73%,6.205,1.214,5.24%,NA,Better % increase but worse stats
V5.1,9/8/26,Until 11:30 AM EST,4287,48.17%,51.83%,127.06%,7.409,1.257,6.99%,NA,Stats improve a little with better % increase
V5.2,9/8/26,Until 11:15 AM EST,3883,48.68%,51.33%,126.31%,8.132,1.289,6.48%,NA,Further improvement
V5.3,9/8/26,Until 11:00 AM EST,3559,48.75%,51.25%,121.79%,8.555,1.314,6.32%,NA,More closely resembles the Range < 250 results
V5.4,9/8/26,Until 10:45 AM EST,2854,49.40%,50.60%,90.74%,7.948,1.306,3.64%,NA,Results Dip
,,,,,,,,,,NA,
V5.5,9/8/26,Changed TP Ratio to 1,4330,63.35%,36.65%,115.25%,6.654,1.275,5.62%,NA,Different but still good results
AFTER RESTRUCTURING DATASET,,,,,,,,,,,
V5.21,9/8/26,Restructued dataset,3876,48.74%,51.26%,127.26%,8.208,1.292,6.17%,1.61,Results changed a little bit
VOLUME FILTERS,,,,,,,,,,,
V6.1,9/9/26,Volume > 6000,2831,47.97%,52.03%,130.07%,11.486,1.343,6.38%,1.64,Massively increased results
V6.2,9/9/26,Volume > 5000,3025,48.26%,51.74%,135.92%,11.233,1.344,6.09%,1.717,A little increase
V.6.3,9/9/26,Volume > 4000,3186,47.74%,52.26%,119.92%,9.41,1.29,7.02%,1.51,Results dip
V6.4,9/9/26,Volume > 4500,3102,48.10%,51.93%,127.36%,10.265,1.315,6.58%,1.606,Roughly the same
V6.5,9/9/26,Volume > 5500,2941,48.01%,51.99%,131.53%,11.181,1.337,6.33%,1.65,Roughly the same
V6.6,9/9/26,Volume > 5250,2980,48.50%,51.95%,130.66%,10.962,1.332,6.10%,1.65,Roughly the same
V6.7,9/9/26,Volume < 30000,3024,48.21%,51.79%,133.93%,11.072,1.338,6.09%,1.69,Results dip
V6.8,9/9/26,Volume < 25000,3021,48.16%,51.84%,132.59%,10.973,1.335,6.72%,1.69,Roughly similar
V6.9,9/9/26,Volume < 20000,2985,48.21%,51.79%,126.60%,10.599,1.323,6.99%,1.61,Worse
ACCOUNTING FOR FEES,,,,,,,,,,,
V7.0,9/9/26,fees,3025,48.26%,51.74%,123.82%,10.867,1.308,6.48%,1.536,Results change but still the top
V.7.1,9/9/26,SL logic /750,3019,48.16%,51.84%,126.31%,10.46,1.315,6.47%,1.569,Improvements
V7.2,9/9/26,SL logic /500,3018,48.05%,51.96%,127.47%,10.559,1.318,6.48%,1.579,Improvements
V7.3,9/9/26,SL logic /600,3019,48.10%,51.91%,128.09%,10.607,1.32,6.47%,1.589,Better
V7.4,9/9/26,SL logic /650,3019,48.13%,51.87%,128.29%,10.624,1.321,6.47%,1.59,Better
V7.5,9/9/26,SL logic /700,3019,48.16%,51.84%,128.25%,10.62,1.321,6.47%,1.59,Better
EMA/SMA/MA FILTERS,,,,,,,,,,,
V8.1,9/10/26,200 SMA,2037,47.47%,52.53%,84.27%,10.343,1.285,6.52%,1.146,Worse
V8.2,9/10/26,200 SMA longs only,1087,48.94%,51.06%,41.81%,9.617,1.312,4.13%,0.619,A lot worse
V8.3,9/10/26,50 SMA,2329,46.89%,53.11%,101.72%,10.918,1.3,6.89%,1.307,Better
V8.3,9/10/26,50 SMA longs only,1192,48.24%,51.76%,44.28%,9.286,1.287,5.28%,0.636,Worse
V8.4,9/10/26,20 EMA,2631,47.13%,52.87%,109.60%,10.414,1.293,8.30%,1.378,Better but still not best
VOLATILITY FILTERS,,,,,,,,,,,
V9.1,9/10/26,5 * 14ATR,2991,48.18%,51.82%,130.05%,10.87,1.328,6.01%,1.619,Far better
V9.2,9/10/26,4 * 14ATR,2909,48.13%,51.87%,125.43%,10.779,1.321,6.06%,1.559,A little worse but still good
V9.3,9/10/26,3 * 14 ATR,2560,47.77%,52.23%,112.06%,10.943,1.321,5.70%,1.415,Results get worse
V9.4,9/10/26,6 * 14ATR,3004,48.10%,51.90%,128.59%,10.702,1.323,6.57%,1.591,Better
V9.5,9/10/26,7 * 14ATR,3012,48.11%,51.89%,127.90%,10.617,1.32,6.50%,1.581,Similar
INDIVIDUAL YEARS,,,,,,,,,,,
V10.1,9/10/26,2022,599,45.74%,54.26%,20.56%,8.58,1.227,6.06%,1.194,Good
V10.2,9/10/26,2023,626,48.08%,51.92%,17.66%,7.051,1.303,2.92%,1.461,Good
V10.3,9/10/26,2024,615,46.50%,53.50%,24.11%,9.801,1.328,4.37%,1.803,Good
V10.4,9/10/26,2025,563,49.91%,50.09%,36.62%,16.263,1.438,4.68%,2.422,Exceedingly Good
